property,units,A,B,C,D,BB,BEDROCK
Ks,mm/h,145.9,3000,1000,8000,4000,100
t,-,0.5,0.5,0.5,0.5,0.5,0.5
qr,-,0.057,0.03,0.03,0.03,0.03,0.03
qs,-,0.41,0.75,0.75,0.75,0.75,0.75
a,1/mm,0.0124,0.044,0.044,0.044,0.044,0.044
n,-,2.28,1.2,1.2,1.2,1.2,1.2
w,-,0.6,0.6,0.6,0.6,0.6,0.6
hm1,mm,1240,1240,1240,1240,1240,1240
hm2,mm,40,40,40,40,40,40
s1,-,1,1,1,1,1,1
s2,-,0.5,0.5,0.5,0.5,0.5,0.5
c,kN/m2,3,3,3,3,3,3
c_root,kN/m3,0.5,0.5,0.5,0.5,0.5,0.5
f,rad,0.488692191,0.488692191,0.488692191,0.488692191,0.488692191,0.488692191
gsat,KN/m3,15.1,15.1,15.1,15.1,15.1,15.1
gwat,KN/m3,9.8,9.8,9.8,9.8,9.8,9.8
Gs,-,1,1,1,1,1,1
e,-,0.75,0.75,0.75,0.75,0.75,0.75
f_0,rad,0.488692191,0.488692191,0.488692191,0.488692191,0.488692191,0.488692191
SRC,-,SRC_van_Genuchten,SRC_van_Genuchten,SRC_van_Genuchten,SRC_van_Genuchten,SRC_van_Genuchten,SRC_van_Genuchten
